Answer1: 6’2/9
Answer281: 12’7/10
Answer282: 90
Answer283: 344
Answer284: 54
Answer285: 11
Answer286: 105
Answer287: 11
Answer288: 7/30
Answer289: 5
Answer290: 5’2/3
Answer291: 5
Answer292: 56
Answer293: 20
Answer294: 22
Answer295: 4
Answer296: 405
Answer297: 1
Answer298: 5/8
Answer299: 1/2
Answer300: 5/9
Answer301: 1’8/27
Answer302: 16
Answer303: 1
Answer304: 7
Answer305: 10
Answer306: 4’1/63
Answer307: 6’2/7
Answer308: 4/13
Answer309: 6’7/8
Answer310: 1/15
Answer311: 9
Answer312: 10
Answer313: 1’1/4
Answer314: 63
Answer315: 6
Answer316: 15
Answer317: 4
Answer318: 56
Answer319: 38
Answer320: 1’2/3
Answer321: 1’1/5
Answer322: 5
Answer323: 3/10
Answer324: 3’3/4
Answer325: 2’1/8
Answer326: 9
Answer327: 4/5
Answer328: 1
Answer329: 23
Answer330: 1’1/4
Answer331: 36
Answer332: 30
Answer333: 3/10
Answer334: 5’1/10
Answer335: 100
Answer336: 108
Answer337: 2/3
Answer338: 7
Answer339: 3’1/4
Answer340: 20
Answer341: 2’2/5
Answer342: 1
Answer343: 5/9
Answer344: 20
Answer345: 9
Answer346: 7
Answer347: 5/6
Answer348: 25
Answer349: 6’7/8
Answer350: 6
Answer351: 4
Answer352: 3’4/49
Answer353: 2
Answer354: 10
Answer355: 19
Answer356: 3/5
Answer357: 3’1/20
Answer358: 4’1/2
Answer359: 3’3/5
Answer360: 1’1/9
Answer361: 1’2/3
Answer362: 9’1/2
Answer363: 1
Answer364: 48
Answer365: 70
Answer366: 1’2/3
Answer367: 3/11
Answer368: 1
Answer369: 7
Answer370: 4
Answer371: 1
Answer372: 10
Answer373: 2’1/3
Answer374: 1’1/5
Answer375: 27
Answer376: 6
Answer377: 1/84
Answer378: 1
Answer379: 6
Answer380: 1/7
Answer381: 2
Answer382: 9
Answer383: 17
Answer384: 1/2
Answer385: 5
Answer386: 12
Answer387: 3/4
Answer388: 9
Answer389: 21/40
Answer390: 245
Answer391: 3/4
Answer392: 7
Answer393: 9/19
Answer394: 81
Answer395: 20
Answer396: 12
Answer397: 1/2
Answer398: 1
Answer399: 4
Answer400: 25
Answer401: 5/8
Answer402: 54
Answer403: 10
Answer404: 30
Answer405: 20
Answer406: 40
Answer407: 9
Answer408: 2
Answer409: 7’1/5
Answer410: 3
Answer411: 22
Answer412: 2
Answer413: 48
Answer414: 20
Answer415: 10’1/8
Answer416: 45
Answer417: 4/5
Answer418: 17
Answer419: 1
Answer420: 16
Answer421: 3
Answer422: 10
Answer423: 2
Answer424: 32
Answer425: 14’2/7
Answer426: 16
Answer427: 10
Answer428: 151
Answer429: 1’7/8
Answer430: 1/8
Answer431: 350
Answer432: 30
Answer433: 1
Answer434: 1/50
Answer435: 98
Answer436: 1’1/20
Answer437: 1’3/5
Answer438: 10/81
Answer439: 1
Answer440: 11
Answer441: 15
Answer442: 36
Answer443: 22
Answer444: 6
Answer445: 6’1/3
Answer446: 6
Answer447: 63
Answer448: 3/16
Answer449: 1’1/5
Answer450: 4’3/5
Answer451: 2’1/4
Answer452: 4
Answer453: 2
Answer454: 15’5/7
Answer455: 11
Answer456: 6
Answer457: 64
Answer458: 4/7
Answer459: 2
Answer460: 1/5
Answer461: 4
Answer462: 1
Answer463: 5
Answer464: 32
Answer465: 1’9/64
Answer466: 61
Answer467: 19
Answer468: 8
Answer469: 14
Answer470: 4’1/5
Answer471: 57
Answer472: 10
Answer473: 35
Answer474: 7’1/2
Answer475: 27/32
Answer476: 7
Answer477: 56
Answer478: 1’1/2
Answer479: 6’3/4
Answer480: 8’1/3
Answer481: 5’1/2
Answer482: 24
Answer483: 12
Answer484: 18
Answer485: 3/4
Answer486: 4’1/3
Answer487: 3/10
Answer488: 14
Answer489: 24
Answer490: 1’1/2
Answer491: 5
Answer492: 17
Answer493: 5/16
Answer494: 3
Answer495: 1
Answer496: 7
Answer497: 18
Answer498: 84
Answer499: 6’1/8
Answer500: 17
Answer501: 10
Answer502: 64
Answer503: 231
Answer504: 2/7
Answer505: 12
Answer506: 1
Answer507: 31’1/2
Answer508: 4/5
Answer509: 36
Answer510: 7
Answer511: 2’1/3
Answer512: 5
Answer513: 4
Answer514: 3/28
Answer515: 5
Answer516: 5/6
Answer517: 70
Answer518: 10’1/4
Answer519: 1
Answer520: 16
Answer521: 13
Answer522: 3/5
Answer523: 1
Answer524: 12
Answer525: 26
Answer526: 450
Answer527: 270
Answer528: 2/5
Answer529: 1’1/6
Answer530: 25
Answer531: 9
Answer532: 1’1/15
Answer533: 7/40
Answer534: 1’1/2
Answer535: 1’1/2
Answer536: 11
Answer537: 10
Answer538: 1/10
Answer539: 7
Answer540: 10
Answer541: 50
Answer542: 15
Answer543: 28
Answer544: 1/6
Answer545: 10
Answer546: 1/2
Answer547: 30
Answer548: 12
Answer549: 2
Answer550: 12
Answer551: 28’4/5
Answer552: 5
Answer553: 8
Answer554: 8
Answer555: 40
Answer556: 5/8
Answer557: 3
Answer558: 42
Answer559: 11’7/8
Answer560: 2
Answer561: 48
Answer562: 2/5
Answer563: 1’1/5
Answer564: 1/9
Answer565: 17
Answer566: 137
Answer567: 1’2/5
Answer568: 6’2/3
Answer569: 1
Answer570: 11
Answer571: 18
Answer572: 14
Answer573: 125
Answer574: 3
Answer575: 2
Answer576: 2/3
Answer577: 7
Answer578: 39
Answer579: 2’1/4
Answer580: 1
Answer581: 50
Answer582: 5
Answer583: 4
Answer584: 40
Answer585: 27
Answer586: 7/10
Answer587: 1/2
Answer588: 10
Answer589: 2
Answer590: 4’1/2
Answer591: 2/3
Answer592: 2’3/10
Answer593: 10
Answer594: 1’1/3
Answer595: 82
Answer596: 6’2/3
Answer597: 7
Answer598: 8
Answer599: 14
Answer600: 4/9
Answer601: 8’2/3
Answer602: 10
Answer603: 93
Answer604: 20
Answer605: 9
Answer606: 216
Answer607: 2’7/10
Answer608: 3/5
Answer609: 5’44/45
Answer610: 14’1/2
Answer611: 3
Answer612: 50
Answer613: 3
Answer614: 17
Answer615: 12
Answer616: 7/8
Answer617: 16
Answer618: 8
Answer619: 33
Answer620: 16
Answer621: 2
Answer622: 3
Answer623: 21
Answer624: 4’4/5
Answer625: 27
Answer626: 5’3/5
Answer627: 1’2/3
Answer628: 39
Answer629: 2’1/2
Answer630: 4’4/5
Answer631: 96
Answer632: 22
Answer633: 10’3/5
Answer634: 1/2
Answer635: 9
Answer636: 8
Answer637: 9
Answer638: 1’3/7
Answer639: 300
Answer640: 1/3
Answer641: 12
Answer642: 73
Answer643: 13
Answer644: 72
Answer645: 24
Answer646: 1’1/2
Answer647: 63
Answer648: 19
Answer649: 2’1/2
Answer650: 16
Answer651: 56
Answer652: 1
Answer653: 17
Answer654: 13’6/7
Answer655: 46
Answer656: 1
Answer657: 18
Answer658: 45
Answer659: 7
Answer660: 6’2/5
Answer661: 1’3/4
Answer662: 16
Answer663: 9
Answer664: 11
Answer665: 5
Answer666: 27
Answer667: 5
Answer668: 2
Answer669: 18
Answer670: 8
Answer671: 1’1/3
Answer672: 19
Answer673: 1/2
Answer674: 1
Answer675: 6
Answer676: 81’2/5
Answer677: 90
Answer678: 10
Answer679: 9
Answer680: 4
Answer681: 1/2
Answer682: 3
Answer683: 14
Answer684: 21
Answer685: 2’1/4
Answer686: 45
Answer687: 2
Answer688: 3
Answer689: 1
Answer690: 7
Answer691: 10
Answer692: 14
Answer693: 3’3/8
Answer694: 1’1/3
Answer695: 24
Answer696: 5/6
Answer697: 36
Answer698: 2
Answer699: 72
Answer700: 1
Answer701: 5
Answer702: 5
Answer703: 21
Answer704: 12
Answer705: 1’3/5
Answer706: 13
Answer707: 7/720
Answer708: 1’2/9
Answer709: 1’1/8
Answer710: 5/9
Answer711: 3/16
Answer712: 16
Answer713: 9
Answer714: 9
Answer715: 10
Answer716: 1/16
Answer717: 4
Answer718: 3’1/2
Answer719: 3/5
Answer720: 9’4/5
Answer721: 405
Answer722: 5
Answer723: 6’2/3
Answer724: 13
Answer725: 8’6/7
Answer726: 1
Answer727: 1’4/5
Answer728: 2/15
Answer729: 16
Answer730: 120
Answer731: 21
Answer732: 14
Answer733: 18
Answer734: 13
Answer735: 10
Answer736: 9
Answer737: 2
Answer738: 5
Answer739: 9
Answer740: 18
Answer741: 39
Answer742: 13
Answer743: 30
Answer744: 49
Answer745: 9
Answer746: 56
Answer747: 20
Answer748: 1’1/3
Answer749: 10
Answer750: 4/7
Answer751: 1/3
Answer752: 8
Answer753: 17
Answer754: 10
Answer755: 100
Answer756: 2’1/2
Answer757: 56
Answer758: 170
Answer759: 5’3/5
Answer760: 13’4/5
Answer761: 13
Answer762: 1
Answer763: 1/10
Answer764: 180
Answer765: 2’3/16
Answer766: 7
Answer767: 5/8
Answer768: 1/18
Answer769: 5
Answer770: 4’2/3
Answer771: 90
Answer772: 90
Answer773: 8/9
Answer774: 3’1/4
Answer775: 2
Answer776: 12’1/2
Answer777: 640
Answer778: 3
Answer779: 11’2/3
Answer780: 15
Answer781: 4/35
Answer782: 24
Answer783: 2
Answer784: 8’3/8
Answer785: 243
Answer786: 2/3
Answer787: 18
Answer788: 53
Answer789: 7
Answer790: 4’3/10
Answer791: 72
Answer792: 15
Answer793: 1/720
Answer794: 87
Answer795: 3’1/15
Answer796: 503
Answer797: 1
Answer798: 5
Answer799: 56
Answer800: 80
Answer801: 4
Answer802: 2
Answer803: 1
Answer804: 6
Answer805: 1/4
Answer806: 2
Answer807: 17’8/9
Answer808: 8
Answer809: 5
Answer810: 4/15
Answer811: 16’3/4
Answer812: 17
Answer813: 9
Answer814: 10
Answer815: 14’1/5
Answer816: 2/3
Answer817: 2/5
Answer818: 36
Answer819: 11
Answer820: 12
Answer821: 4
Answer822: 18
Answer823: 52
Answer824: 18
Answer825: 12
Answer826: 9/10
Answer827: 80
Answer828: 1
Answer829: 18
Answer830: 64’2/7
Answer831: 9’1/5
Answer832: 62
Answer833: 9/10
Answer834: 6’2/5
Answer835: 3
Answer836: 1’3/7
Answer837: 3
Answer838: 2
Answer839: 11
Answer840: 7
Answer841: 18
Answer842: 3/5
Answer843: 90
Answer844: 1
Answer845: 1/56
Answer846: 22
Answer847: 4’1/2
Answer848: 21
Answer849: 6
Answer850: 11
Answer851: 23
Answer852: 13
Answer853: 2
Answer854: 4
Answer855: 7
Answer856: 17
Answer857: 1/5
Answer858: 1’1/3
Answer859: 8
Answer860: 3/4
Answer861: 5
Answer862: 1/2
Answer863: 7/30
Answer864: 368
Answer865: 200
Answer866: 12
Answer867: 3’1/2
Answer868: 9
Answer869: 9’33/40
Answer870: 44
Answer871: 3/7
Answer872: 6
Answer873: 12
Answer874: 16
Answer875: 56
Answer876: 3
Answer877: 59
Answer878: 1’23/25
Answer879: 45
Answer880: 5
Answer881: 13’1/2
Answer882: 4
Answer883: 8
Answer884: 4
Answer885: 42
Answer886: 5’2/7
Answer887: 33
Answer888: 9’1/7
Answer889: 1
Answer890: 5
Answer891: 8
Answer892: 3
Answer893: 82
Answer894: 7
Answer895: 7’3/7
Answer896: 15
Answer897: 4
Answer898: 18
Answer899: 22
Answer900: 7
Answer901: 41
Answer902: 8’2/3
Answer903: 2
Answer904: 10’1/4
Answer905: 3/5
Answer906: 120
Answer907: 20’1/4
Answer908: 72
Answer909: 16
Answer910: 10
Answer911: 7/9
Answer912: 6
Answer913: 9
Answer914: 2’3/5
Answer915: 21
Answer916: 52
Answer917: 16
Answer918: 5’1/30
Answer919: 18
Answer920: 220
Answer921: 1/3
Answer922: 13
Answer923: 2/5
Answer924: 3/5
Answer925: 1’1/2
Answer926: 480
Answer927: 2/3
Answer928: 8’2/5
Answer929: 1’2/3
Answer930: 60
Answer931: 12
Answer932: 49
Answer933: 24
Answer934: 7
Answer935: 22
Answer936: 6
Answer937: 6
Answer938: 21
Answer939: 51
Answer940: 24
Answer941: 15
Answer942: 102’6/7
Answer943: 104
Answer944: 4’2/3
Answer945: 5’1/2
Answer946: 9/13
Answer947: 4
Answer948: 7’2/9
Answer949: 11’1/4
Answer950: 26
Answer951: 24
Answer952: 4’1/2
Answer953: 3/8
Answer954: 2’1/3
Answer955: 9
Answer956: 3’1/3
Answer957: 11
Answer958: 5
Answer959: 33
Answer960: 10
Answer961: 15
Answer962: 106
Answer963: 100
Answer964: 180
Answer965: 10
Answer966: 8
Answer967: 1
Answer968: 6
Answer969: 5’2/3
Answer970: 3’1/3
Answer971: 6
Answer972: 8
Answer973: 4
Answer974: 9’4/5
Answer975: 1
Answer976: 1
Answer977: 5
Answer978: 9’1/10
Answer979: 13
Answer980: 3
Answer981: 9/20
Answer982: 7’7/9
Answer983: 6
Answer984: 35
Answer985: 11
Answer986: 11
Answer987: 17
Answer988: 18
Answer989: 20
Answer990: 17
Answer991: 4
Answer992: 9’1/4
Answer993: 13
Answer994: 8
Answer995: 19
Answer996: 18
Answer997: 5
Answer998: 6
Answer999: 10
Answer1000: 10’2/3
Answer1001: 1
Answer1002: 22
Answer1003: 15
Answer1004: 51
Answer1005: 3
Answer1006: 70
Answer1007: 79
Answer1008: 22
Answer1009: 10
Answer1010: 5
Answer1011: 20
Answer1012: 18
Answer1013: 94
Answer1014: 7/10
Answer1015: 3
Answer1016: 24
Answer1017: 29
Answer1018: 22
Answer1019: 11
Answer1020: 6
Answer1021: 5’1/2
Answer1022: 7
Answer1023: 42
Answer1024: 20
Answer1025: 9
Answer1026: 1/32
Answer1027: 4
Answer1028: 3/70
Answer1029: 7
Answer1030: 9
Answer1031: 5’3/5
Answer1032: 11
Answer1033: 52
Answer1034: 5/8
Answer1035: 6
Answer1036: 2/5
Answer1037: 2
Answer1038: 21
Answer1039: 36
Answer1040: 66’2/3
Answer1041: 7/8
Answer1042: 6
Answer1043: 10’2/7
Answer1044: 102
Answer1045: 21
Answer1046: 45
Answer1047: 2160
Answer1048: 21
Answer1049: 2/5
Answer1050: 59
Answer1051: 3’3/4
Answer1052: 35
Answer1053: 24
Answer1054: 10’1/2
Answer1055: 7’1/2
Answer1056: 19
Answer1057: 54
Answer1058: 2/5
Answer1059: 40
Answer1060: 2’2/5
Answer1061: 1/27
Answer1062: 1/2
Answer1063: 4
Answer1064: 56
Answer1065: 19
Answer1066: 19
Answer1067: 1
Answer1068: 14
Answer1069: 162
Answer1070: 6
Answer1071: 2/15
Answer1072: 4
Answer1073: 81
Answer1074: 9
Answer1075: 5’3/10
Answer1076: 1/2
Answer1077: 13
Answer1078: 17
Answer1079: 10’1/3
Answer1080: 3/8
Answer1081: 10
Answer1082: 64
Answer1083: 37
Answer1084: 2/3
Answer1085: 16
Answer1086: 2/3
Answer1087: 18
Answer1088: 6’1/3
Answer1089: 7
Answer1090: 21’3/5
Answer1091: 5
Answer1092: 28
Answer1093: 8
Answer1094: 40
Answer1095: 1/2
Answer1096: 6’2/5
Answer1097: 23
Answer1098: 13
Answer1099: 17
Answer1100: 3/4
Answer1101: 8
Answer1102: 6
Answer1103: 23
Answer1104: 17
Answer1105: 3’1/72
Answer1106: 3
Answer1107: 8
Answer1108: 21
Answer1109: 15’1/2
Answer1110: 120
Answer1111: 18
Answer1112: 5
Answer1113: 18
Answer1114: 70
Answer1115: 32
Answer1116: 6
Answer1117: 136
Answer1118: 4
Answer1119: 5
Answer1120: 3
Answer1121: 15
Answer1122: 19
Answer1123: 14
Answer1124: 6’1/2
Answer1125: 4
Answer1126: 4/9
Answer1127: 7/72
Answer1128: 12
Answer1129: 4
Answer1130: 3/5
Answer1131: 7
Answer1132: 30
Answer1133: 1’1/3
Answer1134: 1’5/8
Answer1135: 1/2
Answer1136: 3
Answer1137: 2’2/3
Answer1138: 6
Answer1139: 14
Answer1140: 9’1/3
Answer1141: 3’1/3
Answer1142: 5’2/5
Answer1143: 1’1/4
Answer1144: 84
Answer1145: 180
Answer1146: 1’3/5
Answer1147: 2
Answer1148: 64
Answer1149: 4
Answer1150: 11
Answer1151: 24
Answer1152: 1/3
Answer1153: 1
Answer1154: 19
Answer1155: 3/14
Answer1156: 16
Answer1157: 15
Answer1158: 1’2/3
Answer1159: 1’1/2
Answer1160: 7
Answer1161: 12
Answer1162: 23
Answer1163: 10
Answer1164: 4
Answer1165: 10’1/5
Answer1166: 30
Answer1167: 9
Answer1168: 63
Answer1169: 16
Answer1170: 4/5
Answer1171: 81’1/9
Answer1172: 8
Answer1173: 14
Answer1174: 5/54
Answer1175: 9/35
Answer1176: 18
Answer1177: 107
Answer1178: 20
Answer1179: 1
Answer1180: 11
Answer1181: 17
Answer1182: 16
Answer1183: 6
Answer1184: 4/7
Answer1185: 34
Answer1186: 1/10
Answer1187: 9’3/7
Answer1188: 1’1/4
Answer1189: 10
Answer1190: 84
Answer1191: 3/5
Answer1192: 17
Answer1193: 9
Answer1194: 1/10
Answer1195: 7
Answer1196: 9
Answer1197: 4
Answer1198: 11
Answer1199: 1/9
Answer1200: 18
Answer1201: 8
Answer1202: 6’3/5
Answer1203: 18
Answer1204: 96
Answer1205: 5
Answer1206: 1’1/3
Answer1207: 30
Answer1208: 27
Answer1209: 8’2/5
Answer1210: 1’2/7
Answer1211: 14
Answer1212: 2/5
Answer1213: 29
Answer1214: 1
Answer1215: 3’2/5
Answer1216: 1
Answer1217: 2
Answer1218: 56
Answer1219: 41
Answer1220: 14
Answer1221: 2/7
Answer1222: 17
Answer1223: 72
Answer1224: 28
Answer1225: 27
Answer1226: 1’1/4
Answer1227: 2/9
Answer1228: 21
Answer1229: 11’2/3
Answer1230: 25
Answer1231: 4
Answer1232: 7’1/3
Answer1233: 9
Answer1234: 3/5
Answer1235: 12
Answer1236: 4
Answer1237: 6’3/5
Answer1238: 4
Answer1239: 1
Answer1240: 8/9
Answer1241: 2’1/5
Answer1242: 14
Answer1243: 22
Answer1244: 15
Answer1245: 31
Answer1246: 46
Answer1247: 4/5
Answer1248: 3
Answer1249: 10’2/3
Answer1250: 8’7/10
Answer1251: 7
Answer1252: 4/9
Answer1253: 2’4/5
Answer1254: 9
Answer1255: 24
Answer1256: 19
Answer1257: 9
Answer1258: 20
Answer1259: 36
Answer1260: 94
Answer1261: 7’7/8
Answer1262: 25
Answer1263: 15
Answer1264: 4
Answer1265: 11
Answer1266: 8’1/2
Answer1267: 8
Answer1268: 21
Answer1269: 5’1/2
Answer1270: 12’1/2
Answer1271: 213’1/3
Answer1272: 14
Answer1273: 5
Answer1274: 7
Answer1275: 28
Answer1276: 9
Answer1277: 4/5
Answer1278: 59
Answer1279: 6
Answer1280: 3’1/4
Answer1281: 11
Answer1282: 34
Answer1283: 29
Answer1284: 4
Answer1285: 5
Answer1286: 14
Answer1287: 1’1/2
Answer1288: 10’8/9
Answer1289: 8’1/3
Answer1290: 12
Answer1291: 13’1/3
Answer1292: 2’2/3
Answer1293: 1
Answer1294: 13
Answer1295: 15
Answer1296: 4
Answer1297: 12
Answer1298: 28
Answer1299: 3’1/2
Answer1300: 58
Answer1301: 12
Answer1302: 13
Answer1303: 7
Answer1304: 49
Answer1305: 17
Answer1306: 12
Answer1307: 13
Answer1308: 4/5
Answer1309: 12
Answer1310: 10
Answer1311: 9
Answer1312: 3/8
Answer1313: 8
Answer1314: 24
Answer1315: 5
Answer1316: 13
Answer1317: 11
Answer1318: 15
Answer1319: 19
Answer1320: 19
Answer1321: 1’3/4
Answer1322: 210
Answer1323: 30
Answer1324: 9
Answer1325: 42
Answer1326: 9
Answer1327: 27
Answer1328: 5
Answer1329: 17
Answer1330: 630
Answer1331: 3’6/7
Answer1332: 85
Answer1333: 53
Answer1334: 8
Answer1335: 1/9
Answer1336: 8
Answer1337: 13
Answer1338: 13
Answer1339: 24
Answer1340: 1
Answer1341: 64
Answer1342: 98
Answer1343: 4/5
Answer1344: 10
Answer1345: 11
Answer1346: 7/10
Answer1347: 108
Answer1348: 8
Answer1349: 8’2/3
Answer1350: 4
Answer1351: 1/2
Answer1352: 3
Answer1353: 9’1/6
Answer1354: 96
Answer1355: 48
Answer1356: 62
Answer1357: 12
Answer1358: 36
Answer1359: 15’4/5
Answer1360: 16
Answer1361: 9’4/5
Answer1362: 8
Answer1363: 2’2/9
Answer1364: 11
Answer1365: 9
Answer1366: 23
Answer1367: 2’6/7
Answer1368: 3
Answer1369: 3’1/3
Answer1370: 8’4/7
Answer1371: 6
Answer1372: 8’1/4
Answer1373: 7
Answer1374: 8
Answer1375: 12
Answer1376: 20
Answer1377: 12
Answer1378: 128
Answer1379: 16
Answer1380: 1
Answer1381: 10
Answer1382: 3’1/5
Answer1383: 7/9
Answer1384: 1/8
Answer1385: 10
Answer1386: 6’1/9
Answer1387: 5/9
Answer1388: 6
Answer1389: 1/3
Answer1390: 16
Answer1391: 12
Answer1392: 24
Answer1393: 11’4/7
Answer1394: 1/4
Answer1395: 5’7/9
Answer1396: 5
Answer1397: 3
Answer1398: 1’5/8
Answer1399: 3
Answer1400: 3
Answer1401: 640
Answer1402: 7’1/2
Answer1403: 4’1/4
Answer1404: 7
Answer1405: 40’1/2
Answer1406: 4
Answer1407: 100
Answer1408: 3
Answer1409: 11
Answer1410: 6’1/7
Answer1411: 70
Answer1412: 5/24
Answer1413: 7’1/2
Answer1414: 5
Answer1415: 3
Answer1416: 1
Answer1417: 20
Answer1418: 2
Answer1419: 4/31
Answer1420: 1/2
Answer1421: 19’1/2
Answer1422: 13
Answer1423: 1/14
Answer1424: 1’3/4
Answer1425: 37
Answer1426: 18
Answer1427: 1/2
Answer1428: 4/5
Answer1429: 5
Answer1430: 7
Answer1431: 12
Answer1432: 2/3
Answer1433: 29
Answer1434: 14’2/3
Answer1435: 8’23/28
Answer1436: 18
Answer1437: 6
Answer1438: 4/5
Answer1439: 2/3
Answer1440: 24
Answer1441: 9
Answer1442: 270
Answer1443: 9
Answer1444: 14
Answer1445: 1’3/5
Answer1446: 17
Answer1447: 1/3
Answer1448: 13
Answer1449: 320
Answer1450: 6’2/3
Answer1451: 17’1/2
Answer1452: 24
Answer1453: 5/7
Answer1454: 42
Answer1455: 1
Answer1456: 4
Answer1457: 27
Answer1458: 37’4/5
Answer1459: 7’1/2
Answer1460: 30
Answer1461: 7
Answer1462: 5/9
Answer1463: 28
Answer1464: 16
Answer1465: 432
Answer1466: 11’2/7
Answer1467: 57
Answer1468: 80’1/10
Answer1469: 1’3/7
Answer1470: 1/8
Answer1471: 1’1/3
Answer1472: 8/45
Answer1473: 24
Answer1474: 2
Answer1475: 40
Answer1476: 7
Answer1477: 72
Answer1478: 27
Answer1479: 64
Answer1480: 4
Answer1481: 5
Answer1482: 9
Answer1483: 1’1/9
Answer1484: 3
Answer1485: 7
Answer1486: 10
Answer1487: 2’1/2
Answer1488: 24
Answer1489: 10/17
Answer1490: 1’3/5
Answer1491: 12
Answer1492: 1/3
Answer1493: 28
Answer1494: 8
Answer1495: 4’7/8
